"Sector" "Source" "Month" "EmissCO2_MillMetricTons" "EnerCons_TrillBTU" "IPI" "MPI"
"331" "Commercial" "Coal" 2000-07-01 0.611 6.406 92.8373 93.831
"332" "Commercial" "Coal" 2000-08-01 0.625 6.556 92.591 93.2285
"333" "Commercial" "Coal" 2000-09-01 0.516 5.417 92.9827 93.7099
"334" "Commercial" "Coal" 2000-10-01 0.41 4.296 92.64 93.4156
"335" "Commercial" "Coal" 2000-11-01 0.849 8.908 92.6604 93.1741
"336" "Commercial" "Coal" 2000-12-01 1.369 14.364 92.3457 92.6146
"337" "Commercial" "Coal" 2001-01-01 1.099 11.53 91.8908 92.2483
"338" "Commercial" "Coal" 2001-02-01 0.872 9.152 91.2851 91.7312
"339" "Commercial" "Coal" 2001-03-01 0.798 8.375 91.0585 91.5568
"340" "Commercial" "Coal" 2001-04-01 0.791 8.302 90.7384 91.1679
"341" "Commercial" "Coal" 2001-05-01 0.497 5.212 90.2607 90.5909
"342" "Commercial" "Coal" 2001-06-01 0.558 5.858 89.7811 90.0299
"343" "Commercial" "Coal" 2001-07-01 0.684 7.178 89.2352 89.5076
